"Reference","Value","Datasheet","Footprint","Qty","DNP","LCSC","Description"
"C1","10n","~","Capacitor_SMD:C_0402_1005Metric","1","","C15195","Unpolarized capacitor"
"C2,C3","1uF","~","Capacitor_SMD:C_0402_1005Metric","2","","C52923","Unpolarized capacitor"
"C4,C6,C8,C10","10u","~","Capacitor_Tantalum_SMD:CP_EIA-3216-18_Kemet-A","4","","C7171","Polarized capacitor, US symbol"
"C5,C7,C9,C11,C13","100n","~","Capacitor_SMD:C_0402_1005Metric","5","","C1525","Unpolarized capacitor"
"C12","470u","~","Capacitor_SMD:C_Elec_8x10.2","1","","C50818","Polarized capacitor, US symbol"
"J1","Raspberry_Pi_2_3","https://www.raspberrypi.org/documentation/hardware/raspberrypi/schematics/rpi_SCH_3bplus_1p0_reduced.pdf","Connector_Samtec_HLE_SMD:Liansheng_FH-00369_2x20_P2.54mm_Horizontal","1","","C25503128","expansion header for Raspberry Pi 2 & 3"
"J2","RJ11","~","Connector_RJ:RJ11_Ckmtw_A800_Horizontal","1","","C189748","RJ connector, 6P2C (6 positions 2 connected)"
"PCM1","PCM1802","https://www.ti.com/lit/ds/symlink/pcm1802.pdf","Package_SO:SSOP-20_5.3x7.2mm_P0.65mm","1","","C2866894","Single-Ended Analog-Input 24-Bit, 96-kHz Stereo A/D Converter"
"R1","1k","~","Resistor_SMD:R_0402_1005Metric","1","","C11702","Resistor"
"R2","20k","~","Resistor_SMD:R_0805_2012Metric","1","","C4328","Resistor"
"X1","ASE-24.576MHz","http://www.abracon.com/Oscillators/ASV.pdf","Oscillator:Oscillator_SMD_Abracon_ASE-4Pin_3.2x2.5mm","1","","C437128","3.3V CMOS SMD Crystal Clock Oscillator, Abracon"
