Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10n","C_0402_1005Metric",60.730000,-93.750000,180.000000,top
"C2","1uF","C_0402_1005Metric",67.770000,-96.250000,0.000000,top
"C3","1uF","C_0402_1005Metric",67.770000,-98.750000,0.000000,top
"C4","10u","CP_EIA-3216-18_Kemet-A",72.250000,-102.315189,-90.000000,top
"C5","100n","C_0402_1005Metric",70.647548,-101.098550,90.000000,top
"C6","10u","CP_EIA-3216-18_Kemet-A",66.750000,-102.250000,-90.000000,top
"C7","100n","C_0402_1005Metric",68.456477,-100.930143,90.000000,top
"C8","10u","CP_EIA-3216-18_Kemet-A",73.250000,-86.250000,0.000000,top
"C9","100n","C_0402_1005Metric",73.900000,-88.050000,180.000000,top
"C10","10u","CP_EIA-3216-18_Kemet-A",78.000000,-102.473689,-90.000000,top
"C11","100n","C_0402_1005Metric",76.250000,-101.036371,90.000000,top
"C12","470u","C_Elec_8x10.2",83.250000,-58.250000,90.000000,top
"C13","100n","C_0402_1005Metric",60.250000,-103.250000,-90.000000,top
"J1","Raspberry_Pi_2_3","Liansheng_FH-00369_2x20_P2.54mm_Horizontal",83.769598,-91.840278,-90.000000,top
"J2","RJ11","RJ11_Ckmtw_A800_Horizontal",70.240000,-60.900000,180.000000,top
"PCM1","PCM1802","SSOP-20_5.3x7.2mm_P0.65mm",72.750000,-94.250000,90.000000,top
"R1","1k","R_0402_1005Metric",74.500000,-100.579688,180.000000,top
"R2","20k","R_0805_2012Metric",57.750000,-60.162500,0.000000,top
"U1","Ag1171S","PinHeader_1x7+7_P2.54mm_Vertical",57.750000,-63.010000,0.000000,top
"X1","ASE-24.576MHz","Oscillator_SMD_Abracon_ASE-4Pin_3.2x2.5mm",68.225000,-86.700000,-90.000000,top
